,id,primary_title,release_year
365,tt0035446,To Be or Not to Be,1942
366,tt0035530,Wake Island,1942
367,tt0035567,Woman of the Year,1942
368,tt0035575,Yankee Doodle Dandy,1942
369,tt0035583,You Were Never Lovelier,1942
370,tt0035703,Cabin in the Sky,1943
371,tt0035753,Le Corbeau,1943
372,tt0035799,Destination Tokyo,1943
373,tt0035884,Five Graves to Cairo,1943
374,tt0035896,For Whom the Bell Tolls,1943
375,tt0035899,Frankenstein Meets the Wolf Man,1943
376,tt0035957,Guadalcanal Diary,1943
377,tt0035966,Hangmen Also Die!,1943
378,tt0035979,Heaven Can Wait,1943
379,tt0036027,I Walked with a Zombie,1943
380,tt0036094,Lady of Burlesque,1943
381,tt0036098,Lassie Come Home,1943
382,tt0036112,The Life and Death of Colonel Blimp,1943
383,tt0036152,The Memphis Belle: A Story of a Flying Fortress,1944
384,tt0036172,The More the Merrier,1943
385,tt0036182,My Friend Flicka,1943
386,tt0036241,The Outlaw,1943
387,tt0036244,The Ox-Bow Incident,1942
388,tt0036261,Phantom of the Opera,1943
389,tt0036323,Sahara,1943
390,tt0036341,The Seventh Victim,1943
391,tt0036342,Shadow of a Doubt,1943
392,tt0036348,Sherlock Holmes Faces Death,1943
393,tt0036349,Sherlock Holmes in Washington,1943
394,tt0036376,Son of Dracula,1943
395,tt0036377,The Song of Bernadette,1943
396,tt0036506,Day of Wrath,1943
397,tt0036515,Watch on the Rhine,1943
398,tt0036613,Arsenic and Old Lace,1944
399,tt0036653,Bluebeard,1944
400,tt0036695,A Canterbury Tale,1944
401,tt0036696,The Canterville Ghost,1944
402,tt0036723,Cover Girl,1944
403,tt0036733,The Curse of the Cat People,1944
404,tt0036775,Double Indemnity,1944
405,tt0036824,The Fighting Seabees,1944
406,tt0036855,Gaslight,1944
407,tt0036868,The Best Years of Our Lives,1946
408,tt0036872,Going My Way,1944
409,tt0036891,Hail the Conquering Hero,1944
410,tt0036910,Henry V,1944
411,tt0036931,House of Frankenstein,1944
412,tt0036969,Jane Eyre,1943
413,tt0037008,Laura,1944
414,tt0037017,Lifeboat,1944
415,tt0037059,Meet Me in St. Louis,1944
416,tt0037075,Ministry of Fear,1944
