entity_id,img_url
nm0774325,"https://m.media-amazon.com/images/M/MV5BNDQ4NDY3MTI2NF5BMl5BanBnXkFtZTgwNDUxMjMyMjE@._V1_UX214_CR0,0,214,317_AL_.jpg"
nm0178260,"https://m.media-amazon.com/images/M/MV5BY2NhNjBjOGYtMTA2NS00NGQ4LThmODMtNDFjYzMyODliN2E4XkEyXkFqcGdeQXVyMTcyODY2NDQ@._V1_UY317_CR28,0,214,317_AL_.jpg"
nm0002031,"https://m.media-amazon.com/images/M/MV5BMTcyMjA2MTgwNF5BMl5BanBnXkFtZTYwMTcwMDY2._V1_UY317_CR8,0,214,317_AL_.jpg"
nm0466099,NONE
nm0792514,"https://m.media-amazon.com/images/M/MV5BMjAzNDMzMzE2NV5BMl5BanBnXkFtZTcwNTc0Mzk0NQ@@._V1_UY317_CR12,0,214,317_AL_.jpg"
nm0774325,"https://m.media-amazon.com/images/M/MV5BNDQ4NDY3MTI2NF5BMl5BanBnXkFtZTgwNDUxMjMyMjE@._V1_UX214_CR0,0,214,317_AL_.jpg"
nm0782682,"https://m.media-amazon.com/images/M/MV5BMTE5YjJiMTctMmJlMS00MWNkLTlmYmEtNjUyMmZlMDNiNmYzL2ltYWdlXkEyXkFqcGdeQXVyMjU5OTg5NDc@._V1_UY317_CR33,0,214,317_AL_.jpg"
nm0384616,"https://m.media-amazon.com/images/M/MV5BNDNjMWI3NWMtZGMyNC00NGQ4LWJhMjktN2FhNzM3Y2RiMjU2XkEyXkFqcGdeQXVyMDMxMjQwMw@@._V1_UX214_CR0,0,214,317_AL_.jpg"
nm0319013,NONE
nm0897118,"https://m.media-amazon.com/images/M/MV5BNWE5Y2E3OGItYjIyNi00NzY2LTllZDQtMWU2ZDk5MmY3NWFhXkEyXkFqcGdeQXVyMTc4MzI2NQ@@._V1_UY317_CR20,0,214,317_AL_.jpg"
nm0576940,NONE
nm0736778,NONE
nm0880618,"https://m.media-amazon.com/images/M/MV5BZjQ3YTY1OWYtOGQ5Mi00NDVhLWE3ZGQtNGVhOGFlZGQ0NGVjXkEyXkFqcGdeQXVyMjUxODE0MDY@._V1_UY317_CR53,0,214,317_AL_.jpg"
nm0124877,"https://m.media-amazon.com/images/M/MV5BZGFlMjNiMjktNmRlOC00ZmMyLWFhNjUtYjRmMWU5MjQ4ZDMwXkEyXkFqcGdeQXVyMzI5NDcxNzI@._V1_UY317_CR20,0,214,317_AL_.jpg"
nm0498174,"https://m.media-amazon.com/images/M/MV5BYmY1YzRkOGYtNjQ4My00MmI4LWIzYjYtOTg4YTY0MWI2ZTVlXkEyXkFqcGdeQXVyMzI5NDcxNzI@._V1_UY317_CR13,0,214,317_AL_.jpg"
nm0762263,NONE
nm0355284,"https://m.media-amazon.com/images/M/MV5BOGEyMjYxNmMtNWFlNC00ZjM2LTgzNTEtY2Q5ZjYwYTU2NGMwXkEyXkFqcGdeQXVyMTcyODY2NDQ@._V1_UY317_CR23,0,214,317_AL_.jpg"
